name,geoid
alamance,37001
alexander,37003
alleghany,37005
anson,37007
ashe,37009
avery,37011
beaufort,37013
bertie,37015
bladen,37017
brunswick,37019
buncombe,37021
burke,37023
cabarrus,37025
caldwell,37027
camden,37029
carteret,37031
caswell,37033
catawba,37035
chatham,37037
cherokee,37039
chowan,37041
clay,37043
cleveland,37045
columbus,37047
craven,37049
cumberland,37051
currituck,37053
dare,37055
davidson,37057
davie,37059
duplin,37061
durham,37063
edgecombe,37065
forsyth,37067
franklin,37069
gaston,37071
gates,37073
graham,37075
granville,37077
greene,37079
guilford,37081
halifax,37083
harnett,37085
haywood,37087
henderson,37089
hertford,37091
hoke,37093
hyde,37095
iredell,37097
jackson,37099
johnston,37101
jones,37103
lee,37105
lenoir,37107
lincoln,37109
macon,37113
madison,37115
martin,37117
mcdowell,37111
mecklenburg,37119
mitchell,37121
montgomery,37123
moore,37125
nash,37127
newhanover,37129
northampton,37131
onslow,37133
orange,37135
pamlico,37137
pasquotank,37139
pender,37141
perquimans,37143
person,37145
pitt,37147
polk,37149
randolph,37151
richmond,37153
robeson,37155
rockingham,37157
rowan,37159
rutherford,37161
sampson,37163
scotland,37165
stanly,37167
stokes,37169
surry,37171
swain,37173
transylvania,37175
tyrrell,37177
union,37179
vance,37181
wake,37183
warren,37185
washington,37187
watauga,37189
wayne,37191
wilkes,37193
wilson,37195
yadkin,37197
yancey,37199